"from","to","driver_mechanism","relationship","LINK_FUNCTION"
"UBE2D2 GoF","UBE2D2","GoF","activates",1
"UGT2B17 GoF","UGT2B17","GoF","activates",1
"USP44 LoF","USP44","LoF","inhibits",-1
"USP6 GoF","USP6","GoF","activates",1
"USP9X LoF","USP9X","LoF","inhibits",-1
"VAV1 GoF","VAV1","GoF","activates",1
"VHL LoF","VHL","LoF","inhibits",-1
"WAS LoF","WAS","LoF","inhibits",-1
"WDR45 LoF","WDR45","LoF","inhibits",-1
"WRN LoF","WRN","LoF","inhibits",-1
"WT1 LoF","WT1","LoF","inhibits",-1
"XPC LoF","XPC","LoF","inhibits",-1
"XPO1 GoF","XPO1","GoF","activates",1
"ZBTB20 GoF","ZBTB20","GoF","activates",1
"ZBTB7B GoF","ZBTB7B","GoF","activates",1
"ZCRB1 LoF","ZCRB1","LoF","inhibits",-1
"ZEB1 LoF","ZEB1","LoF","inhibits",-1
"ZFHX3 LoF","ZFHX3","LoF","inhibits",-1
"ZFP36L1 LoF","ZFP36L1","LoF","inhibits",-1
"ZFX LoF","ZFX","LoF","inhibits",-1
"ZNF148 GoF","ZNF148","GoF","activates",1
"ZNF165 LoF","ZNF165","LoF","inhibits",-1
"ZNF429 LoF","ZNF429","LoF","inhibits",-1
"ZNF521 GoF","ZNF521","GoF","activates",1
"ZNF780A GoF","ZNF780A","GoF","activates",1
"ZNF814 GoF","ZNF814","GoF","activates",1
"ZNF93 LoF","ZNF93","LoF","inhibits",-1
"ZNRF3 LoF","ZNRF3","LoF","inhibits",-1
"ZRSR2 LoF","ZRSR2","LoF","inhibits",-1
"ZXDB LoF","ZXDB","LoF","inhibits",-1
